zams_mass,M_star,nz,R_star,M_He,xi25,M4,mu4,M_O,M_Ne,M_Mg,M_Si,MgNe,SiNe,SiO,m_O_inner,m_O_outer
16.67,13.62,4622,68810675845834.945,5.04094093667601,0.21359056706301716,1.701853756327132,0.09503986195736652,1.2255446761831166,0.30291067522850157,0.053840015669831216,0.09562231462256376,0.17774221931669076,0.3156782591119669,0.07802434010025124,1.929299184265001,3.8304676421588795
16.68,13.35,4618,69712089579699.66,5.121208273791227,0.24478018360769702,1.7782338032161016,0.10299590269164972,1.3452591671794711,0.21308308339990806,0.02505557292846737,0.1817548773973531,0.1175859318754263,0.8529765690326571,0.1351077040258557,1.8206774459079098,3.9036640543937278
16.69,13.49,4619,69257994028361.3,5.075126234736542,0.22276387905746828,1.720597206786182,0.09720340409826753,1.2602479001925821,0.2935712823702957,0.05360312556394052,0.10715146496743877,0.18258981304693248,0.3649930064763059,0.085024117041627,1.9162523174192352,3.8624453581539977
16.7,13.12,4608,70469877693888.2,5.160686167343829,0.2164863552085615,1.7582060113013358,0.10273506466776795,1.3982288755152485,0.3118786800367228,0.04288937496117833,0.1350360971904539,0.13751941926946795,0.432976364958816,0.0965765330376924,1.7954340387294674,3.931654043093872
16.71,13.04,4606,70957538924107.8,5.184579106028563,0.2429888509721033,1.779965796565423,0.10537942594923679,1.3793370123537014,0.25370603757781346,0.031570045738395176,0.1765935182128428,0.12443553192427444,0.696055639427502,0.1280278254199121,1.8258990012821832,3.954512459994549
16.72,13.21,4611,70372977633261.94,5.145654454453251,0.22006160589488513,1.7625638811266895,0.10334804724508084,1.3916614625084434,0.3066191968076215,0.04182791322306901,0.13963498789020315,0.13641648552524455,0.4554019752971067,0.10033689345576455,1.800458575798469,3.9249817430139777
16.73,13.52,4631,69441873920239.94,5.091110140275154,0.2052068938012182,1.6967003635758302,0.09385382926657468,1.2895915256545503,0.31863479351401125,0.053678768844739815,0.1078744274418784,0.1684648693030424,0.33855193983118753,0.08365007469099583,1.876740886868181,3.8804482034617864
16.74,13.56,4635,69390115426111.836,5.0941832165433825,0.20652168701803175,1.7013194617372256,0.09416384120176739,1.2899578878586948,0.31875466395173024,0.053813795292297066,0.10888620144505044,0.16882512282375958,0.3415987709643029,0.08441066368902898,1.87719569736775,3.880560442120887
16.75,13.47,4636,69682385640624.055,5.109438510288195,0.24949447908120784,1.7792501572809785,0.10287248542137158,1.3287678319063765,0.18868339961391345,0.020927678775570727,0.20383139935835193,0.11091425540558009,1.0802826309862688,0.15339880637079847,1.824583068554759,3.891119819476055
16.76,13.33,4632,70106501142973.445,5.149198805243602,0.22185801644225492,1.7616288105924889,0.10351217815543937,1.389214269827331,0.29470490372617075,0.03940313307097763,0.14234866146041775,0.13370368993788312,0.48302101410800763,0.10246703086206466,1.7983687264900945,3.9263885934205445
16.77,13.66,4650,69244619513490.84,5.086978908797074,0.20853390663118437,1.7055869058071331,0.09540038392539638,1.2978049316958418,0.3183962513084857,0.05494960907701329,0.11485068679888392,0.17258246242281938,0.36071620292918627,0.08849610907920386,1.8553138059088599,3.8726065707602144
16.78,13.26,4633,70455245986392.56,5.172016788399791,0.23643643228938885,1.7732920727566355,0.10435600881577466,1.3791050257297433,0.26361614234860165,0.03344979742443833,0.16742061604383965,0.12688827446767226,0.6350924285298333,0.12139801749707226,1.8194606906304214,3.946576533380202
16.79,13.13,4627,71170435728631.08,5.208706183327388,0.1829414539543724,1.6910324010593174,0.09271247835428477,1.4420366422556288,0.3734032974819837,0.05133606145155984,0.1119958805594602,0.13748154287265432,0.29993275719495727,0.0776650726324656,1.7636364142503305,3.978906255869264
16.8,13.41,4644,70272500907035.305,5.148806627270576,0.24970748386090116,1.784552085085629,0.10425433057992375,1.3525437326281913,0.2155233025705634,0.025434293974207444,0.19197344722336035,0.11801180508488232,0.8907317442414715,0.14193511277474757,1.8275684430303922,3.9275014938137236
16.81,13.61,4654,69596999419540.09,5.11509617163465,0.22382070789320455,1.7227870569408157,0.09781693717404674,1.2796129924187487,0.30908773491560865,0.056096626142739976,0.11773512060710926,0.1814909483809063,0.3809116548712453,0.09200838167840428,1.8971576022095724,3.8966223817228665
16.82,13.59,4653,69710853922431.25,5.122153410645027,0.20726798619636294,1.7063242169528985,0.09547717215771052,1.3244808638583094,0.3233581525324609,0.054528625687484254,0.11974928882851217,0.1686322898013536,0.37033019854506655,0.09041224535300099,1.8375605883284565,3.9052492111297297
